Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= 8000
          42          54  6.928709055910916E-003 8.847776663682820E-018 
          42          55  5.296886563072821E-004 -1.945266999289341E-018 
          42          56  5.270066631172982E-004 -5.945192090425847E-019 
          42          57  -9.926732754517529E-004 1.138573261923078E-019 
          42          58  -2.244813240511775E-003 3.165631991487437E-019 
          42          59  -2.176910203651281E-003 -1.551847719257808E-018 
          42          60  -9.863041661936633E-004 -1.324621982801168E-018 
          42          61  -3.826810769108158E-004 2.102662626393612E-019 
          42          62  9.239765146851436E-005 1.198243215971271E-019 
          42          63  2.640734399376221E-004 1.968641205848927E-019 
          42          64  1.226195575223451E-004 2.783682173751955E-019 
          42          65  2.405478470017997E-004 3.546343542428206E-019 
          42          66  7.983300314563515E-005 4.057263502030759E-019 
          42          67  5.570233150547658E-005 -5.128320236532644E-020 
          42          68  -1.117213087056056E-004 -8.300358425367599E-020 
          42          69  -1.576329047436252E-004 -1.274910638929842E-019 
          42          70  -1.464443814933687E-004 -6.542112871074928E-020 
          42          71  -9.968670460385599E-005 -1.753483728206394E-019 
          42          72  5.379673898953271E-005 -3.122060614517534E-020 
          42          73  9.909488364793683E-006 5.333686963990609E-022 
          42          74  4.067525552793903E-005 7.043449788918767E-021 
          42          75  3.372690454967493E-005 -5.201196613696922E-022 
          42          76  3.686948437823785E-005 -2.247172397988052E-021 
          42          77  8.091224410228485E-006 3.059846224678882E-020 
          42          78  -2.728396495106039E-005 1.612722757211055E-020 
          42          79  -9.840178207497533E-006 -3.586357756811374E-021 
          42          80  -1.127923116495525E-005 -1.273918223821705E-020 
          42          81  -1.044105732094121E-005 -7.150768740549389E-021 
          42          82  -9.209491748235864E-006 -8.673201442301131E-021 
          42          83  -7.002012501316798E-006 -1.268590182971527E-020 
          42          84  -7.483185719254463E-006 -2.871645871803311E-021 
          42          85  1.687418818382005E-006 1.194104543830132E-021 
          42          86  3.747636486132411E-006 1.236536216617520E-021 
          42          87  1.485959718257294E-006 -7.685939419227829E-022 
          42          88  2.957455985297380E-006 9.441878499191418E-022 
          42          89  3.388319508000468E-006 1.299066986151728E-021 
          42          90  2.923108220709022E-006 1.157830570721697E-021 
          42          91  -1.307415343076458E-006 -6.266078751587989E-022 
          42          92  -1.310652186851893E-006 -9.701478564089771E-022 
          42          93  -5.145404021892794E-007 4.574381736273925E-022 
          42          94  -1.245638573424036E-006 -9.057404974128604E-022 
          42          95  -1.138345833941270E-006 -7.911318659413807E-023 
          42          96  -5.441991339723219E-007 -4.061154099938733E-022 
          42          97  3.614493583124394E-007 -2.800161943035783E-023 
          42          98  3.129485301045863E-007 1.817067384061042E-022 
          42          99  1.470038103744225E-007 -9.656786568545179E-024 
          42         100  3.888955914955498E-007 1.844409179888006E-022 
          42         101  1.266684054947537E-007 7.538338351109908E-023 
          42         102  3.081038186087061E-007 -6.388809871158915E-023 
          42         103  -3.802531465361794E-008 -8.065425274039241E-023 
          42         104  -4.495594780091509E-008 -8.209607383322080E-023 
          42         105  -5.488880849989277E-008 -5.910469078275914E-023 
          42         106  -5.355316523309454E-008 -4.609324035233376E-023 
          42         107  -3.859672629032508E-008 -3.957761372938328E-023 
          42         108  -3.473507180426660E-008 -1.169693874496660E-023 
          43          37  -0.103900454548595 -3.566961341160665E-018 
          43          38  -0.103516784667286 -8.395618129430653E-018 
          43          39  1.431239986987739E-002 6.211783061103849E-019 
          43          40  -4.373301671765952E-003 5.756731992403518E-019 
          43          41  -4.398908089824658E-003 4.921410452710313E-018 
          43          42  1.440432320562243E-002 9.874085215253736E-018 
          43          43  0.557704301717688 -2.784762031678754E-016 
          43          44  -0.109263587171328 -4.386317699878485E-017 
          43          45  7.332927263653261E-003 -2.453474697246064E-017 
          43          46  -3.469034860857208E-004 2.776099385742300E-018 
          43          47  7.359803065480688E-003 -4.579965124300202E-018 
          43          48  -0.109553588230324 1.286865586247665E-017 
          43          49  -0.103932290908093 -4.841006048410252E-017 
          43          50  1.358957474829877E-002 1.418462960618739E-017 
          43          51  -3.390014356336098E-003 1.677798785154386E-017 
          43          52  -3.380683887050803E-003 8.285598414031732E-018 
          43          53  1.346936445904403E-002 -6.742175043267120E-018 
          43          54  -0.102368773530722 -4.228068112777232E-017 
          43          55  7.290072685062937E-003 -6.847383540231800E-018 
          43          56  -5.136590733099682E-003 1.269364514146445E-018 
          43          57  1.674484181991662E-003 -3.136199160292907E-018 
          43          58  -5.112032721168274E-003 -1.449369838650840E-018 
          43          59  6.951036468619757E-003 3.518225545084389E-019 
          43          60  1.163786657299091E-002 -2.215829087441144E-018 
          43          61  -2.381485372290965E-004 2.813078955050178E-019 
          43          62  -4.862231657615105E-004 -3.676192811160247E-019 
          43          63  -4.789617586104584E-004 1.199750568329364E-018 
          43          64  -1.998710653099183E-004 -5.594527317144090E-019 
          43          65  -3.037836294818478E-003 2.226019455274112E-018 
          43          66  -3.301375703325077E-003 -1.011371987716271E-018 
          43          67  2.774817841205294E-004 -8.490416317049380E-020 
          43          68  -1.311199718752318E-004 1.162585477521166E-019 
          43          69  2.736601669059965E-004 -1.911254167077509E-019 
          43          70  -1.612181453106018E-005 -1.837626574843563E-019 
          43          71  8.263428209838920E-004 -3.803042761556373E-019 
          43          72  -1.517974009249131E-005 1.551746022571925E-019 
          43          73  -1.896160725153363E-006 4.819015591218749E-020 
          43          74  -1.475508973315400E-006 -7.844880285910098E-020 
          43          75  -8.238687609163897E-005 -3.686467703558290E-020 
          43          76  -2.243934100169255E-004 4.006302609649545E-021 
          43          77  -2.217332890849700E-004 -2.293844432520706E-020 
